|,||,||__rssi1,||__rssi2,||__rssi3,||__x1,||__x2,||__x3,||__y1,||__y2,||__y3
,1548658150565,-84,-91,-98,11,33,29,29,14.2,33.5
,1548658162871,-77,-93,-98,11,33,29,29,14.2,33.5
,1548658165095,-77,-91,-96,11,33,29,29,14.2,33.5
,1548658166206,-77,-92,-95,11,33,29,29,14.2,33.5
,1548658179659,-77,-95,-96,11,33,29,29,14.2,33.5
,1548658183027,-79,-88,-94,11,33,29,29,14.2,33.5
,1548658197572,-76,-91,-92,11,33,29,29,14.2,33.5
,1548658200922,-76,-88,-93,11,33,29,29,14.2,33.5
,1548658202035,-76,-85,-93,11,33,29,29,14.2,33.5
,1548658205384,-80,-85,-90,11,33,29,29,14.2,33.5
,1548658206511,-73,-88,-92,11,33,29,29,14.2,33.5
,1548658221092,-76,-91,-88,11,33,29,29,14.2,33.5
,1548658228906,-73,-87,-96,11,33,29,29,14.2,33.5
,1548658347690,-78,-86,-90,11,33,29,29,14.2,33.5
,1548658353279,-74,-84,-91,11,33,29,29,14.2,33.5
,1548658355519,-78,-87,-92,11,33,29,29,14.2,33.5
,1548658356647,-75,-85,-90,11,33,29,29,14.2,33.5
,1548658362237,-77,-91,-96,11,33,29,29,14.2,33.5
,1548658365605,-88,-99,-94,11,33,29,29,14.2,33.5
,1548658367844,-78,-88,-91,11,33,29,29,14.2,33.5
,1548658371179,-67,-83,-91,11,33,29,29,14.2,33.5
,1548658377929,-84,-97,-96,11,33,29,29,14.2,33.5
,1548658382442,-72,-83,-91,11,33,29,29,14.2,33.5
,1548658385793,-72,-84,-89,11,33,29,29,14.2,33.5
,1548658386921,-72,-84,-94,11,33,29,29,14.2,33.5
,1548658396974,-71,-84,-90,11,33,29,29,14.2,33.5
,1548658401470,-70,-83,-91,11,33,29,29,14.2,33.5
,1548658407111,-77,-87,-93,11,33,29,29,14.2,33.5
,1548658412702,-70,-86,-91,11,33,29,29,14.2,33.5
,1548658413813,-70,-87,-91,11,33,29,29,14.2,33.5
,1548658569117,-78,-90,-96,11,33,29,29,14.2,33.5
,1548658571356,-80,-89,-92,11,33,29,29,14.2,33.5
,1548658584795,-86,-91,-93,11,33,29,29,14.2,33.5
,1548658585924,-91,-94,-92,11,33,29,29,14.2,33.5
,1548658593739,-77,-93,-95,11,33,29,29,14.2,33.5
,1548658625113,-78,-94,-94,11,33,29,29,14.2,33.5
,1548658627354,-77,-84,-93,11,33,29,29,14.2,33.5
,1548658639698,-84,-93,-94,11,33,29,29,14.2,33.5
,1548658640828,-84,-92,-93,11,33,29,29,14.2,33.5
,1548658644195,-83,-87,-93,11,33,29,29,14.2,33.5
,1548658645307,-79,-86,-95,11,33,29,29,14.2,33.5
,1548658652044,-79,-94,-95,11,33,29,29,14.2,33.5
,1548658660970,-81,-87,-93,11,33,29,29,14.2,33.5
,1548658667741,-82,-92,-98,11,33,29,29,14.2,33.5
,1548658671093,-82,-93,-97,11,33,29,29,14.2,33.5
,1548658687867,-74,-87,-95,11,33,29,29,14.2,33.5
,1548658699225,-84,-95,-94,11,33,29,29,14.2,33.5
,1548658707105,-75,-87,-88,11,33,29,29,14.2,33.5
,1548658708218,-77,-91,-89,11,33,29,29,14.2,33.5
,1548658710457,-79,-92,-88,11,33,29,29,14.2,33.5
,1548658712697,-69,-83,-95,11,33,29,29,14.2,33.5
,1548658713825,-69,-84,-92,11,33,29,29,14.2,33.5
,1548658716064,-69,-86,-88,11,33,29,29,14.2,33.5
,1548658725074,-83,-94,-89,11,33,29,29,14.2,33.5
,1548658728410,-69,-84,-89,11,33,29,29,14.2,33.5
,1548658731778,-64,-83,-91,11,33,29,29,14.2,33.5
,1548658741849,-81,-89,-91,11,33,29,29,14.2,33.5
,1548658746313,-71,-88,-91,11,33,29,29,14.2,33.5
,1548658756352,-83,-90,-88,11,33,29,29,14.2,33.5
,1548658768679,-73,-92,-91,11,33,29,29,14.2,33.5
,1548658770935,-77,-90,-89,11,33,29,29,14.2,33.5
,1548658772047,-76,-85,-88,11,33,29,29,14.2,33.5
,1548658773175,-73,-84,-91,11,33,29,29,14.2,33.5
,1548658791500,-80,-92,-90,11,33,29,29,14.2,33.5
,1548658799332,-76,-93,-95,11,33,29,29,14.2,33.5
,1548658804940,-75,-93,-88,11,33,29,29,14.2,33.5
,1548658827376,-72,-89,-96,11,33,29,29,14.2,33.5
,1548658829599,-70,-92,-96,11,33,29,29,14.2,33.5
,1548658831823,-69,-93,-92,11,33,29,29,14.2,33.5
,1548658863214,-73,-91,-87,11,33,29,29,14.2,33.5
,1548658891253,-76,-92,-97,11,33,29,29,14.2,33.5
,1548658904660,-75,-92,-92,11,33,29,29,14.2,33.5
,1548658909156,-81,-95,-89,11,33,29,29,14.2,33.5
,1548658919226,-75,-90,-93,11,33,29,29,14.2,33.5
,1548658924833,-78,-87,-93,11,33,29,29,14.2,33.5
,1548658925945,-78,-89,-92,11,33,29,29,14.2,33.5
,1548658927055,-77,-86,-92,11,33,29,29,14.2,33.5
,1548658936047,-73,-92,-96,11,33,29,29,14.2,33.5
,1548658938304,-80,-86,-92,11,33,29,29,14.2,33.5
,1548658973304,-76,-91,-91,11,33,29,29,14.2,33.5
,1548658974432,-85,-89,-90,11,33,29,29,14.2,33.5
,1548658975544,-69,-96,-93,11,33,29,29,14.2,33.5
,1548658986797,-72,-94,-94,11,33,29,29,14.2,33.5
,1548658987926,-71,-92,-93,11,33,29,29,14.2,33.5
,1548658989048,-73,-92,-92,11,33,29,29,14.2,33.5
,1548658991290,-72,-89,-92,11,33,29,29,14.2,33.5
,1548658999152,-73,-91,-94,11,33,29,29,14.2,33.5
,1548659001375,-73,-92,-94,11,33,29,29,14.2,33.5
,1548659004742,-70,-95,-94,11,33,29,29,14.2,33.5
,1548659012606,-77,-90,-96,11,33,29,29,14.2,33.5
,1548659014864,-83,-90,-98,11,33,29,29,14.2,33.5
,1548659015995,-82,-93,-95,11,33,29,29,14.2,33.5
,1548659047362,-72,-92,-95,11,33,29,29,14.2,33.5
,1548659065261,-73,-91,-97,11,33,29,29,14.2,33.5
,1548659073059,-76,-91,-95,11,33,29,29,14.2,33.5
,1548659074187,-75,-91,-93,11,33,29,29,14.2,33.5
,1548659088305,-61,-96,-86,11,33,29,29,14.2,33.5
,1548659089416,-77,-90,-87,11,33,29,29,14.2,33.5
,1548659090543,-67,-91,-82,11,33,29,29,14.2,33.5
,1548659091655,-63,-89,-85,11,33,29,29,14.2,33.5
,1548659092784,-60,-87,-84,11,33,29,29,14.2,33.5
,1548659093895,-59,-90,-85,11,33,29,29,14.2,33.5
,1548659097245,-66,-93,-87,11,33,29,29,14.2,33.5
,1548659100597,-66,-92,-90,11,33,29,29,14.2,33.5
,1548659103949,-63,-90,-84,11,33,29,29,14.2,33.5
,1548659107314,-59,-89,-84,11,33,29,29,14.2,33.5
,1548659110667,-59,-88,-84,11,33,29,29,14.2,33.5
,1548659121865,-60,-92,-79,11,33,29,29,14.2,33.5
,1548659124088,-58,-88,-85,11,33,29,29,14.2,33.5
,1548659131919,-68,-89,-88,11,33,29,29,14.2,33.5
,1548659133047,-65,-86,-87,11,33,29,29,14.2,33.5
,1548659135270,-67,-91,-88,11,33,29,29,14.2,33.5
,1548659136399,-67,-91,-88,11,33,29,29,14.2,33.5
,1548659138622,-60,-90,-85,11,33,29,29,14.2,33.5
,1548659158124,-74,-90,-93,11,33,29,29,14.2,33.5
,1548659174931,-65,-92,-93,11,33,29,29,14.2,33.5
,1548659198488,-75,-92,-95,11,33,29,29,14.2,33.5
,1548659247763,-70,-94,-95,11,33,29,29,14.2,33.5
,1548659262280,-71,-93,-94,11,33,29,29,14.2,33.5
,1548659301434,-58,-90,-92,11,33,29,29,14.2,33.5
,1548659318270,-71,-98,-95,11,33,29,29,14.2,33.5
,1548659346260,-61,-85,-89,11,33,29,29,14.2,33.5
,1548659354120,-72,-88,-100,11,33,29,29,14.2,33.5
,1548659374292,-63,-86,-90,11,33,29,29,14.2,33.5
,1548659394415,-67,-90,-95,11,33,29,29,14.2,33.5
,1548659398927,-82,-92,-95,11,33,29,29,14.2,33.5
,1548659402262,-64,-85,-89,11,33,29,29,14.2,33.5
,1548659407854,-70,-93,-96,11,33,29,29,14.2,33.5
,1548659410076,-71,-94,-95,11,33,29,29,14.2,33.5
,1548659457123,-65,-94,-92,11,33,29,29,14.2,33.5
,1548659486966,-60,-98,-91,11,33,29,29,14.2,33.5
,1548659491432,-62,-93,-91,11,33,29,29,14.2,33.5
,1548659527349,-61,-92,-90,11,33,29,29,14.2,33.5
,1548659531811,-67,-98,-90,11,33,29,29,14.2,33.5
,1548659546409,-62,-91,-90,11,33,29,29,14.2,33.5
,1548659551999,-64,-91,-90,11,33,29,29,14.2,33.5
,1548659553112,-68,-88,-96,11,33,29,29,14.2,33.5
,1548659554222,-77,-91,-90,11,33,29,29,14.2,33.5
,1548659564325,-61,-93,-90,11,33,29,29,14.2,33.5
,1548659566564,-64,-89,-90,11,33,29,29,14.2,33.5
,1548659567676,-67,-88,-94,11,33,29,29,14.2,33.5
,1548659572138,-62,-96,-91,11,33,29,29,14.2,33.5
,1548659575489,-62,-94,-91,11,33,29,29,14.2,33.5
,1548659576622,-58,-91,-90,11,33,29,29,14.2,33.5
,1548659578842,-66,-89,-88,11,33,29,29,14.2,33.5
