,timestamp,rssi1,rssi2,rssi3,x,y,block
77,2019-01-28 13:44:06.494,-82,-93,-91,3.15,17.85,5
78,2019-01-28 13:44:08.717,-72,-83,-87,3.15,17.85,5
79,2019-01-28 13:44:09.829,-79,-83,-87,3.15,17.85,5
80,2019-01-28 13:45:18.760,-74,-92,-94,4.2,16.8,6
81,2019-01-28 13:45:29.992,-83,-92,-95,4.2,16.8,6
82,2019-01-28 13:45:34.472,-75,-91,-98,4.2,16.8,6
83,2019-01-28 13:45:35.601,-75,-96,-96,4.2,16.8,6
84,2019-01-28 13:45:57.982,-81,-87,-96,4.2,16.8,6
85,2019-01-28 13:45:59.093,-77,-93,-93,4.2,16.8,6
86,2019-01-28 13:46:17.058,-74,-90,-98,4.2,16.8,6
87,2019-01-28 13:46:20.414,-73,-91,-99,4.2,16.8,6
88,2019-01-28 13:46:27.131,-76,-87,-97,4.2,16.8,6
89,2019-01-28 13:46:29.354,-84,-90,-95,4.2,16.8,6
90,2019-01-28 13:46:30.465,-79,-93,-96,4.2,16.8,6
91,2019-01-28 13:46:31.595,-81,-88,-96,4.2,16.8,6
92,2019-01-28 13:46:46.176,-83,-84,-96,4.2,16.8,6
93,2019-01-28 13:47:25.376,-76,-91,-91,4.2,16.8,6
94,2019-01-28 13:47:44.355,-77,-82,-95,4.2,16.8,6
95,2019-01-28 13:47:57.810,-90,-87,-93,4.2,16.8,6
96,2019-01-28 13:48:56.034,-74,-84,-93,4.2,17.85,7
97,2019-01-28 13:49:09.454,-82,-93,-91,4.2,17.85,7
98,2019-01-28 13:49:10.565,-84,-91,-98,4.2,17.85,7
99,2019-01-28 13:49:22.871,-77,-93,-98,4.2,17.85,7
100,2019-01-28 13:49:25.095,-77,-91,-96,4.2,17.85,7
101,2019-01-28 13:49:26.206,-77,-92,-95,4.2,17.85,7
102,2019-01-28 13:49:39.659,-77,-95,-96,4.2,17.85,7
103,2019-01-28 13:49:43.027,-79,-88,-94,4.2,17.85,7
104,2019-01-28 13:49:57.572,-76,-91,-92,4.2,17.85,7
105,2019-01-28 13:50:00.922,-76,-88,-93,4.2,17.85,7
106,2019-01-28 13:50:02.035,-76,-85,-93,4.2,17.85,7
107,2019-01-28 13:50:05.384,-80,-85,-90,4.2,17.85,7
108,2019-01-28 13:50:06.511,-73,-88,-92,4.2,17.85,7
109,2019-01-28 13:50:21.092,-76,-91,-88,4.2,17.85,7
110,2019-01-28 13:50:28.906,-73,-87,-96,4.2,17.85,7
111,2019-01-28 13:52:27.690,-78,-86,-90,5.25,16.8,8
112,2019-01-28 13:52:33.279,-74,-84,-91,5.25,16.8,8
113,2019-01-28 13:52:35.519,-78,-87,-92,5.25,16.8,8
114,2019-01-28 13:52:36.647,-75,-85,-90,5.25,16.8,8
115,2019-01-28 13:52:42.237,-77,-91,-96,5.25,16.8,8
116,2019-01-28 13:52:45.605,-88,-99,-94,5.25,16.8,8
117,2019-01-28 13:52:47.844,-78,-88,-91,5.25,16.8,8
118,2019-01-28 13:52:51.179,-67,-83,-91,5.25,16.8,8
119,2019-01-28 13:52:57.929,-84,-97,-96,5.25,16.8,8
120,2019-01-28 13:53:02.442,-72,-83,-91,5.25,16.8,8
121,2019-01-28 13:53:05.793,-72,-84,-89,5.25,16.8,8
122,2019-01-28 13:53:06.921,-72,-84,-94,5.25,16.8,8
123,2019-01-28 13:53:16.974,-71,-84,-90,5.25,16.8,8
124,2019-01-28 13:53:21.470,-70,-83,-91,5.25,16.8,8
125,2019-01-28 13:53:27.111,-77,-87,-93,5.25,16.8,8
126,2019-01-28 13:53:32.702,-70,-86,-91,5.25,16.8,8
127,2019-01-28 13:53:33.813,-70,-87,-91,5.25,16.8,8
128,2019-01-28 13:56:09.117,-78,-90,-96,5.25,17.85,9
129,2019-01-28 13:56:11.356,-80,-89,-92,5.25,17.85,9
130,2019-01-28 13:56:24.795,-86,-91,-93,5.25,17.85,9
131,2019-01-28 13:56:25.924,-91,-94,-92,5.25,17.85,9
132,2019-01-28 13:56:33.739,-77,-93,-95,5.25,17.85,9
133,2019-01-28 13:57:05.113,-78,-94,-94,5.25,17.85,9
134,2019-01-28 13:57:07.354,-77,-84,-93,5.25,17.85,9
135,2019-01-28 13:57:19.698,-84,-93,-94,5.25,17.85,9
136,2019-01-28 13:57:20.828,-84,-92,-93,5.25,17.85,9
137,2019-01-28 13:57:24.195,-83,-87,-93,5.25,17.85,9
138,2019-01-28 13:57:25.307,-79,-86,-95,5.25,17.85,9
139,2019-01-28 13:57:32.044,-79,-94,-95,5.25,17.85,9
140,2019-01-28 13:57:40.970,-81,-87,-93,5.25,17.85,9
141,2019-01-28 13:57:47.741,-82,-92,-98,5.25,17.85,9
142,2019-01-28 13:57:51.093,-82,-93,-97,5.25,17.85,9
143,2019-01-28 13:58:07.867,-74,-87,-95,5.25,17.85,9
144,2019-01-28 13:58:19.225,-84,-95,-94,6.3,16.8,10
145,2019-01-28 13:58:27.105,-75,-87,-88,6.3,16.8,10
146,2019-01-28 13:58:28.218,-77,-91,-89,6.3,16.8,10
147,2019-01-28 13:58:30.457,-79,-92,-88,6.3,16.8,10
148,2019-01-28 13:58:32.697,-69,-83,-95,6.3,16.8,10
149,2019-01-28 13:58:33.825,-69,-84,-92,6.3,16.8,10
150,2019-01-28 13:58:36.064,-69,-86,-88,6.3,16.8,10
151,2019-01-28 13:58:45.074,-83,-94,-89,6.3,16.8,10
152,2019-01-28 13:58:48.410,-69,-84,-89,6.3,16.8,10
153,2019-01-28 13:58:51.778,-64,-83,-91,6.3,16.8,10
154,2019-01-28 13:59:01.849,-81,-89,-91,6.3,16.8,10
155,2019-01-28 13:59:06.313,-71,-88,-91,6.3,16.8,10
156,2019-01-28 13:59:16.352,-83,-90,-88,6.3,16.8,10
157,2019-01-28 13:59:28.679,-73,-92,-91,6.3,16.8,10
158,2019-01-28 13:59:30.935,-77,-90,-89,6.3,16.8,10
159,2019-01-28 13:59:32.047,-76,-85,-88,6.3,16.8,10
160,2019-01-28 13:59:33.175,-73,-84,-91,6.3,16.8,10
161,2019-01-28 13:59:51.500,-80,-92,-90,6.3,17.85,11
162,2019-01-28 13:59:59.332,-76,-93,-95,6.3,17.85,11
163,2019-01-28 14:00:04.940,-75,-93,-88,6.3,17.85,11
164,2019-01-28 14:00:27.376,-72,-89,-96,6.3,17.85,11
165,2019-01-28 14:00:29.599,-70,-92,-96,6.3,17.85,11
166,2019-01-28 14:00:31.823,-69,-93,-92,6.3,17.85,11
167,2019-01-28 14:01:03.214,-73,-91,-87,6.3,17.85,11
168,2019-01-28 14:01:31.253,-76,-92,-97,6.3,17.85,11
169,2019-01-28 14:01:44.660,-75,-92,-92,6.3,17.85,11
170,2019-01-28 14:01:49.156,-81,-95,-89,6.3,17.85,11
171,2019-01-28 14:01:59.226,-75,-90,-93,6.3,17.85,11
172,2019-01-28 14:02:04.833,-78,-87,-93,6.3,17.85,11
173,2019-01-28 14:02:05.945,-78,-89,-92,6.3,17.85,11
174,2019-01-28 14:02:07.055,-77,-86,-92,6.3,17.85,11
175,2019-01-28 14:02:16.047,-73,-92,-96,6.3,17.85,11
176,2019-01-28 14:02:18.304,-80,-86,-92,6.3,17.85,11
177,2019-01-28 14:02:53.304,-76,-91,-91,7.35,16.8,12
178,2019-01-28 14:02:54.432,-85,-89,-90,7.35,16.8,12
179,2019-01-28 14:02:55.544,-69,-96,-93,7.35,16.8,12
180,2019-01-28 14:03:06.797,-72,-94,-94,7.35,16.8,12
181,2019-01-28 14:03:07.926,-71,-92,-93,7.35,16.8,12
182,2019-01-28 14:03:09.048,-73,-92,-92,7.35,16.8,12
183,2019-01-28 14:03:11.290,-72,-89,-92,7.35,16.8,12
